rule_id,perspective,room_type,object_class,preferred_zones,avoided_zones,preferred_colors,avoided_colors,severity,rationale,source_urls,confidence
VR-001,placement,living_room,sofa,S;W,NE,earth;cream;green,black,warn,Traditional guidance often places heavier seating along south or west so the room remains open to north and east light.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.62
VR-002,orientation,living_room,sofa,N;E,S;W,,,info,Seating is commonly preferred so occupants face north or east during conversation and receiving guests.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.58
VR-003,placement,living_room,loveseat,S;W,NE,earth;cream,,warn,A compact secondary seat follows the same traditional heavy-furniture preference as larger living-room seating.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.56
VR-004,placement,living_room,table,C;N;E,SW,wood;cream,,info,Light central or north-east table placement is treated as acceptable when it does not block circulation.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.55
VR-005,placement,living_room,rug,C,,earth;green;cream,,info,A central rug can define the Brahmasthana-adjacent activity area while keeping furniture visually organized.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.52
VR-006,clearance,living_room,rug,C,,cream;earth,,warn,Traditional layouts keep the central zone visually calm and avoid using floor coverings to justify cluttered circulation.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.5
VR-007,placement,living_room,storage,S;W;SW,NE,wood;earth,,warn,"Heavier storage is traditionally placed toward south, west, or south-west and kept away from north-east.","https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.66
VR-008,placement,living_room,cabinet,S;W;SW,NE,wood;earth,,warn,"Cabinets are treated as heavy objects and are therefore preferred in south, west, or south-west zones.","https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.65
VR-009,placement,living_room,lamp,SE;S,NW,warm white;gold;yellow,,info,Fire and warm-light objects are commonly associated with the south-east zone in popular Vastu practice.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.6
VR-010,color,living_room,lamp,SE,,warm white;yellow;gold,blue,info,Warm lighting colors are preferred for social rooms when the user asks for Vastu guidance.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.48
VR-011,placement,living_room,mirror,N;E,S;SW,,,warn,Mirrors are commonly preferred on north or east walls and avoided in heavier south-west zones.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.6
VR-012,placement,living_room,planter,N;E;NE,SW,green,,info,"Plants are treated as light natural elements and commonly preferred toward north, east, or north-east.","https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.57
VR-013,placement,bedroom,bed,SW,S;SE,,,critical,Beds are commonly placed in the south-west of a bedroom in traditional home-layout guidance.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.68
VR-014,orientation,bedroom,bed,S;E,N,,,warn,Sleep orientation guidance commonly avoids a north-facing head position and prefers south or east.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.57
VR-015,placement,bedroom,storage,S;W;SW,NE,wood;earth,,warn,Wardrobes and heavy bedroom storage are traditionally preferred along south or west walls.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.64
VR-016,placement,bedroom,cabinet,S;W;SW,NE,wood;earth,,warn,Bedroom cabinets are treated as heavy storage and are kept away from the north-east zone.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.62
VR-017,placement,bedroom,mirror,N;E,SW;S,,,critical,Traditional bedroom guidance often avoids mirrors facing the bed or occupying south-west heavy zones.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.56
VR-018,color,bedroom,bed,SW,,cream;earth;green,red;black,info,Calmer earth and light colors are commonly preferred in bedroom guidance over aggressive dark or red schemes.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.5
VR-019,placement,bedroom,lamp,SE;S,NW,warm white;yellow,,info,Bedroom lamps can use the same warm-light south-east association while keeping glare away from sleep areas.,"https://en.wikipedia.org/wiki/Vastu_shastra;https://en.wikipedia.org/wiki/Hindu_temple_architecture",0.53
